year,lat,lon,anomaly_C
1950,-58.43,86.88,-0.384
1950,-58.43,91.88,0.048
1950,-58.43,96.88,0.294
1950,-58.43,101.88,0.346
1950,-58.43,106.88,0.273
1950,-58.43,111.88,0.202
1950,-58.43,116.88,0.152
1950,-58.43,121.88,0.119
1950,-58.43,126.88,0.093
1950,-58.43,131.88,0.077
1950,-58.43,136.88,0.106
1950,-58.43,141.88,0.117
1950,-58.43,146.88,0.127
1950,-58.43,151.88,0.09
1950,-58.43,156.88,-0.018
1950,-58.43,161.88,-0.1
1950,-58.43,166.88,-0.073
1950,-58.43,171.88,0.023
1950,-58.43,176.88,0.103
1950,-54.66,-178.12,0.059
1950,-54.66,-173.12,0.107
1950,-54.66,-168.12,0.194
1950,-54.66,-163.12,0.337
1950,-54.66,-158.12,0.508
1950,-54.66,-153.12,0.618
1950,-54.66,-148.12,0.667
1950,-54.66,-143.12,0.701
1950,-54.66,-138.12,0.685
1950,-54.66,-133.12,0.595
1950,-54.66,-128.12,0.535
1950,-54.66,-123.12,0.483
1950,-54.66,-118.12,0.457
1950,-54.66,-113.12,0.484
1950,-54.66,-108.12,0.388
1950,-54.66,-103.12,0.28
1950,-54.66,-98.12,0.219
1950,-54.66,-93.12,0.189
1950,-54.66,-88.12,0.182
1950,-54.66,-83.12,0.145
1950,-54.66,-78.12,0.076
1950,-54.66,-73.12,0.129
1950,-54.66,-68.12,0.17
1950,-54.66,-63.12,0.07
1950,-54.66,-58.12,0.008
1950,-54.66,-53.12,-0.119
1950,-54.66,-48.12,-0.33
1950,-54.66,-43.12,-0.5
1950,-54.66,-38.12,-0.466
1950,-54.66,-33.12,-0.379
1950,-54.66,-28.12,-0.269
1950,-54.66,-23.12,-0.22
1950,-54.66,-18.12,-0.148
1950,-54.66,-13.12,-0.019
1950,-54.66,-8.12,0.131
1950,-54.66,-3.12,0.21
1950,-54.66,1.88,0.277
1950,-54.66,6.88,0.291
1950,-54.66,11.88,0.28
1950,-54.66,16.88,0.268
1950,-54.66,21.88,0.253
1950,-54.66,26.88,0.225
1950,-54.66,31.88,0.262
1950,-54.66,36.88,0.32
1950,-54.66,41.88,0.363
1950,-54.66,46.88,0.36
1950,-54.66,51.88,0.332
1950,-54.66,56.88,0.308
1950,-54.66,61.88,0.217
1950,-54.66,66.88,0.056
1950,-54.66,71.88,-0.051
1950,-54.66,76.88,-0.193
1950,-54.66,81.88,-0.302
1950,-54.66,86.88,-0.292
1950,-54.66,91.88,-0.099
1950,-54.66,96.88,0.096
1950,-54.66,101.88,0.187
1950,-54.66,106.88,0.248
1950,-54.66,111.88,0.252
1950,-54.66,116.88,0.225
1950,-54.66,121.88,0.208
1950,-54.66,126.88,0.215
1950,-54.66,131.88,0.233
1950,-54.66,136.88,0.229
1950,-54.66,141.88,0.198
1950,-54.66,146.88,0.154
1950,-54.66,151.88,0.087
1950,-54.66,156.88,0.042
1950,-54.66,161.88,-0.032
1950,-54.66,166.88,-0.054
1950,-54.66,171.88,-0.044
1950,-54.66,176.88,-0.003
1950,-50.89,-178.12,-0.168
1950,-50.89,-173.12,-0.106
1950,-50.89,-168.12,0.018
1950,-50.89,-163.12,0.196
1950,-50.89,-158.12,0.412
1950,-50.89,-153.12,0.542
1950,-50.89,-148.12,0.644
1950,-50.89,-143.12,0.712
1950,-50.89,-138.12,0.713
1950,-50.89,-133.12,0.688
1950,-50.89,-128.12,0.648
1950,-50.89,-123.12,0.577
1950,-50.89,-118.12,0.491
1950,-50.89,-113.12,0.389
1950,-50.89,-108.12,0.225
1950,-50.89,-103.12,0.113
1950,-50.89,-98.12,0.048
1950,-50.89,-93.12,0.0
1950,-50.89,-88.12,-0.009
1950,-50.89,-83.12,-0.053
1950,-50.89,-78.12,-0.084
1950,-50.89,-73.12,0.011
1950,-50.89,-68.12,0.093
1950,-50.89,-63.12,0.114
1950,-50.89,-58.12,0.093
1950,-50.89,-53.12,-0.039
1950,-50.89,-48.12,-0.262
1950,-50.89,-43.12,-0.392
1950,-50.89,-38.12,-0.382
1950,-50.89,-33.12,-0.289
1950,-50.89,-28.12,-0.226
1950,-50.89,-23.12,-0.235
1950,-50.89,-18.12,-0.165
1950,-50.89,-13.12,-0.064
1950,-50.89,-8.12,0.104
1950,-50.89,-3.12,0.123
1950,-50.89,1.88,0.146
1950,-50.89,6.88,0.179
1950,-50.89,11.88,0.181
1950,-50.89,16.88,0.156
1950,-50.89,21.88,0.145
1950,-50.89,26.88,0.132
1950,-50.89,31.88,0.139
1950,-50.89,36.88,0.174
1950,-50.89,41.88,0.211
1950,-50.89,46.88,0.223
1950,-50.89,51.88,0.227
1950,-50.89,56.88,0.199
1950,-50.89,61.88,0.131
1950,-50.89,66.88,0.031
1950,-50.89,71.88,0.008
1950,-50.89,76.88,0.021
1950,-50.89,81.88,-0.041
1950,-50.89,86.88,-0.1
1950,-50.89,91.88,-0.064
1950,-50.89,96.88,-0.003
1950,-50.89,101.88,0.055
1950,-50.89,106.88,0.109
1950,-50.89,111.88,0.156
1950,-50.89,116.88,0.185
1950,-50.89,121.88,0.195
1950,-50.89,126.88,0.22
1950,-50.89,131.88,0.226
1950,-50.89,136.88,0.231
1950,-50.89,141.88,0.173
1950,-50.89,146.88,0.075
1950,-50.89,151.88,0.042
1950,-50.89,156.88,0.01
1950,-50.89,161.88,-0.095
1950,-50.89,166.88,-0.142
1950,-50.89,171.88,-0.123
1950,-50.89,176.88,-0.13
1950,-47.12,-178.12,-0.522
1950,-47.12,-173.12,-0.405
1950,-47.12,-168.12,-0.225
1950,-47.12,-163.12,-0.05
1950,-47.12,-158.12,0.154
1950,-47.12,-153.12,0.328
1950,-47.12,-148.12,0.523
1950,-47.12,-143.12,0.71
1950,-47.12,-138.12,0.812
1950,-47.12,-133.12,0.798
1950,-47.12,-128.12,0.728
1950,-47.12,-123.12,0.609
1950,-47.12,-118.12,0.411
1950,-47.12,-113.12,0.187
1950,-47.12,-108.12,-0.054
1950,-47.12,-103.12,-0.173
1950,-47.12,-98.12,-0.237
1950,-47.12,-93.12,-0.301
1950,-47.12,-88.12,-0.308
1950,-47.12,-83.12,-0.284
1950,-47.12,-78.12,-0.228
1950,-47.12,-73.12,-0.215
1950,-47.12,-68.12,-0.171
1950,-47.12,-63.12,-0.031
1950,-47.12,-58.12,-0.075
1950,-47.12,-53.12,-0.093
1950,-47.12,-48.12,-0.054
1950,-47.12,-43.12,-0.047
1950,-47.12,-38.12,-0.048
1950,-47.12,-33.12,-0.114
1950,-47.12,-28.12,-0.196
1950,-47.12,-23.12,-0.221
1950,-47.12,-18.12,-0.191
